date,gameId,pick,avgEdge,modelCount,totalModels,price,result,homeTeam,awayTeam
2025-12-17,e7ef253eba7a568276738c0137852649,Alabama St Hornets +24.5,5.683388609210208,17,19,-118,l,Cincinnati Bearcats,Alabama St Hornets
2025-12-18,9fdce01ea2542ae1842e48afc0cbe2c1,Western Carolina Catamounts +34.5,8.409837414730081,19,19,-108,w,Georgia Bulldogs,Western Carolina Catamounts
2025-12-18,9a394985f7dc32c6fe285c5ef0f00cb3,Norfolk St Spartans +1.5,8.022234761595888,19,19,-120,l,Norfolk St Spartans,Grambling St Tigers
2025-12-18,718c0de7abeb97a18143f14cc0c66431,Under 135.5,6.351960456722662,19,19,-112,l,Eastern Illinois Panthers,SIU-Edwardsville Cougars
2025-12-19,7d33e189dd059c17062677f569c6ab08,Miss Valley St Delta Devils +41.5,9.903065850175368,19,19,-110,l,Florida St Seminoles,Miss Valley St Delta Devils
2025-12-19,89d79a60a26de4f88adc631c748262bc,Alcorn St Braves +35.5,6.223099681557712,18,19,-104,l,Baylor Bears,Alcorn St Braves
2025-12-19,5e29a9362a797a0c318215e3c5fa9d72,Grambling St Tigers +2.5,3.829645731838749,16,19,-112,w,Grambling St Tigers,Hampton Pirates
2025-12-19,e6ca367564dcc26341704f231ff5046d,Washington Huskies -7.5,3.273464984295942,14,19,-110,l,Washington Huskies,Seattle Redhawks
2025-12-20,d87d380d79966e01509d3f58a645e445,Over 154.5,7.080001675375061,19,19,-115,l,Colorado Buffaloes,Stanford Cardinal
2025-12-20,3a88e475fd452924d4313b24de246aa9,Under 138.5,6.0636408067911285,19,19,-105,w,Texas State Bobcats,South Alabama Jaguars
2025-12-20,8eec569dd84b7bcbee37bed5cee674c8,Under 139.5,5.769602373717556,17,19,-110,l,Mercyhurst Lakers,Binghamton Bearcats
2025-12-20,9b42f54285bbe4c22d0ae9f2fcd90219,Kentucky Wildcats +2.5,5.163304688098144,18,19,-102,w,Kentucky Wildcats,St. John's Red Storm
